No,Kabupaten / Kota,Banjir,Gempa Bumi,Tanah Longsor,latitude,longitude
1,Kabupaten Cilacap,211,237,150,-7.733333,109
2,Kabupaten Banyumas,127,93,230,-7.4832133,109.140438
3,Kabupaten Purbalingga,59,9,129,-7.390747,109.3638
4,Kabupaten Banjarnegara,27,34,274,-7.402706,109.681396
5,Kabupaten Kebumen,341,152,286,-7.678682,109.656502
6,Kabupaten Purworejo,325,397,220,-7.709731,110.008003
7,Kabupaten Wonosobo,16,11,254,-7.362109,109.899399
8,Kabupaten Magelang,17,29,337,-7.5135353,110.0799538
9,Kabupaten Boyolali,42,11,116,-7.523819,110.595901
10,Kabupaten Klaten,167,28,31,-7.711687,110.595497
11,Kabupaten Sukoharjo,74,33,16,-7.6808818,110.8195292
12,Kabupaten Wonogiri,107,39,213,-7.817782,110.920601
13,Kabupaten Karanganyar,38,5,132,-7.5961111,110.9508333
14,Kabupaten Sragen,67,6,44,-7.430229,111.021301
15,Kabupaten Grobogan,222,45,84,-7.0217194,110.9625854
16,Kabupaten Blora,55,10,74,-6.95,111.4166667
17,Kabupaten Rembang,55,9,54,-6.71124,111.345299
18,Kabupaten Pati,208,28,42,-6.751338,111.038002
19,Kabupaten Kudus,93,15,39,-6.804087,110.838203
20,Kabupaten Jepara,42,24,48,-6.5596059,110.6717
21,Kabupaten Demak,123,7,9,-6.888115,110.639297
22,Kabupaten Semarang,79,7,203,-7.2876732,110.126933
23,Kabupaten Temanggung,52,5,173,-7.316669,110.174797
24,Kabupaten Kendal,181,7,79,-6.919686,110.205597
25,Kabupaten Batang,70,8,37,-6.8941111,109.7234519
26,Kabupaten Pekalongan,114,7,115,-7.0418517,109.4762543
27,Kabupaten Pemalang,93,9,83,-6.884234,109.377998
28,Kabupaten Tegal,152,31,107,-7.0557098,108.8262404
29,Kabupaten Brebes,217,82,109,-6.8833333,109.05
30,Kota Magelang,0,2,7,-7.481253,110.213799
31,Kota Surakarta,21,11,7,-7.5666667,110.8166667
32,Kota Salatiga,0,0,7,-7.302328,110.4729
33,Kota Semarang,92,19,166,-6.9666667,110.4166667
34,Kota Pekalongan,69,13,1,-6.882887,109.669998
35,Kota Tegal,24,16,0,-6.8666667,109.1333333
